domain,scripts,Prediction
www.rarebeauty.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.rarebeauty.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.nativecos.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.nativecos.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.celestron.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.celestron.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
blendjet.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
blendjet.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
ooni.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
ooni.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.100percentpure.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.100percentpure.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.deathwishcoffee.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.deathwishcoffee.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.skinnymixes.com,https://www.skinnymixes.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
www.obagi.com,https://www.obagi.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
sundayriley.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
sundayriley.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
jessakae.com,https://jessakae.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
www.hauslabs.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.hauslabs.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
succulentsbox.com,https://succulentsbox.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
www.4moms.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.4moms.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.chroniclebooks.com,https://www.chroniclebooks.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
alastin.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.thespicehouse.com,https://www.thespicehouse.com/cdn/wpm/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,0
www.beararchery.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
www.beararchery.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
jordancraig.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
jordancraig.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
bearaby.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
